vehicle_id,Curb_Weight,year
20768,1356.0,2013
20770,1342.0,2013
20771,2108.0,2013
20775,1880.0,2013
20776,1880.0,2013
20778,1850.0,2013
20785,1955.0,2013
20787,1385.0,2013
20791,1555.0,2013
20792,1805.0,2013
20793,1805.0,2013
20794,1578.0,2013
20796,1670.0,2013
20801,1760.0,2013
20802,1835.0,2013
20806,1385.0,2013
20808,1485.0,2013
20812,1462.0,2013
20813,1836.0,2013
20815,1420.0,2013
20816,1405.0,2013
20817,1380.0,2013
20818,1405.0,2013
20819,1255.0,2013
20820,1454.0,2013
20821,1253.0,2013
20822,1405.0,2013
20823,1761.0,2013
20824,1380.0,2013
20825,2013.0,2013
20826,1825.0,2013
20833,1800.0,2013
20834,1472.0,2013
20835,1470.0,2013
20838,1466.0,2013
20840,2012.0,2013
20841,1517.0,2013
20842,1901.0,2013
20843,1510.0,2013
20845,1228.0,2013
20847,1650.0,2013
20848,1650.0,2013
20849,1260.0,2013
20850,1507.0,2013
20851,1228.0,2013
20852,1990.0,2013
20854,1399.0,2013
20859,1400.0,2013
20860,2632.0,2013
20861,1228.0,2013
20863,2108.0,2013
20864,1427.0,2013
20865,1439.0,2013
20866,1585.0,2013
20867,1455.0,2013
20868,1585.0,2013
20871,1514.0,2013
20873,2023.0,2013
20875,2023.0,2013
20876,2135.0,2013
20877,1186.0,2013
20878,1188.0,2013
20879,2588.0,2013
20880,2200.0,2013
20882,2037.0,2013
20883,1411.0,2013
20884,1726.0,2013
20885,2023.0,2013
20887,2047.0,2013
20888,1451.0,2013
20890,1750.0,2013
20891,1756.0,2013
20892,1486.0,2013
20895,1479.0,2013
20898,1504.0,2013
20899,2200.0,2013
20900,2200.0,2013
20905,2085.0,2013
20906,2085.0,2013
20907,1857.0,2013
20908,2085.0,2013
20909,2075.0,2013
20910,1447.0,2013
20911,1501.0,2013
20912,2069.0,2013
20918,1830.0,2013
20919,1830.0,2013
20920,1823.0,2013
20922,1760.0,2013
20923,1760.0,2013
20924,1837.0,2013
20925,1754.0,2013
20926,1748.0,2013
20927,1881.5782808217373,2013
20928,1879.9343123873941,2013
20931,2105.0,2013
20932,1754.0,2013
20934,1837.0,2013
20935,2015.0,2013
20937,2619.0,2013
20938,2594.0,2013
20940,2489.0,2013
20942,1940.0,2013
20944,2200.0,2013
20946,2114.0,2013
20947,2087.0,2013
20948,2028.0,2013
20949,2110.0,2013
20951,1680.0,2013
20954,1901.0,2013
20956,1697.0,2013
20958,1679.0,2013
20961,1735.0,2013
20962,1724.0,2013
20963,1724.0,2013
20964,1712.0,2013
20965,1712.0,2013
20966,1655.0,2013
20968,1246.0230739855624,2013
20970,1900.0,2013
20971,1690.0,2013
20972,2260.008993487133,2013
20978,1992.2184454838973,2013
20983,2475.0,2013
20984,2475.0,2013
20985,2029.0,2013
20986,1995.0,2013
20989,2247.5428174603176,2013
20990,2705.0,2013
20991,1332.7288303828184,2013
20998,1881.0,2013
20999,1431.7419435399897,2013
21000,1740.0,2013
21001,1690.0,2013
21002,1690.0,2013
21003,1881.0,2013
21004,2154.4185898917544,2013
21006,2322.1543095238103,2013
